stop,round,year,BOT,HAM,VER,VET,delta
1,1,2017,,21709.0,,21988.0,279.0
1,1,2018,,21821.0,,21787.0,-34.0
1,1,2019,22014.0,21515.0,,,499.0
1,1,2020,21937.0,21850.0,,,87.0
1,1,2021,,24839.0,24767.0,,-72.0
1,2,2017,,22999.0,,22906.0,-93.0
1,2,2018,,24302.0,,24524.0,222.0
1,2,2019,24865.0,24255.0,,,610.0
1,2,2020,21376.0,21729.0,,,-353.0
1,2,2021,,32112.0,29809.0,,-2303.0
1,3,2017,,30687.0,,24702.0,-5985.0
1,3,2018,,22464.0,,23009.0,545.0
1,3,2019,22196.0,22644.0,,,-448.0
1,3,2020,21906.0,22320.0,,,-414.0
1,3,2021,,22426.0,22718.0,,292.0
1,4,2017,,29739.0,,30097.0,358.0
1,4,2018,,20377.0,,20037.0,-340.0
1,4,2019,20006.0,19993.0,,,13.0
1,4,2020,30571.0,28805.0,,,1766.0
1,4,2021,,22220.0,23565.0,,1345.0
1,5,2017,,21544.0,,22499.0,955.0
1,5,2018,,22085.0,,22054.0,-31.0
1,5,2019,22034.0,22265.0,,,-231.0
1,5,2020,28408.0,28406.0,,,2.0
1,5,2021,,23783.0,23746.0,,-37.0
1,6,2017,,24155.0,,24306.0,151.0
1,6,2018,,23739.0,,23964.0,225.0
1,6,2019,25030.0,24266.0,,,764.0
1,6,2020,22310.0,23377.0,,,-1067.0
1,6,2021,,22470.0,19769.0,,-2701.0
1,7,2017,,23061.0,,31596.0,8535.0
1,7,2018,,23335.0,,23529.0,194.0
1,7,2019,23994.0,23662.0,,,332.0
1,7,2020,25548.0,23298.0,,,2250.0
1,7,2021,,30263.0,29803.0,,-460.0
1,8,2017,,20418.0,,20059.0,-359.0
1,8,2018,,24310.0,,32612.0,8302.0
1,8,2019,30412.0,30186.0,,,226.0
1,8,2020,24410.0,24671.0,,,-261.0
1,8,2021,,21219.0,20936.0,,-283.0
1,9,2017,,20761.0,,21750.0,989.0
1,9,2018,,21245.0,,23912.0,2667.0
1,9,2019,22552.0,30067.0,,,-7515.0
1,9,2020,17560.0,17536.0,,,24.0
1,9,2021,,21005.0,21090.0,,85.0
1,10,2017,,27733.0,,28363.0,630.0
1,10,2018,,28982.0,,28677.0,-305.0
1,10,2019,28493.0,28905.0,,,-412.0
1,10,2020,29750.0,41352.0,,,-11602.0
1,10,2021,,2048376.0,,,-2048376.0
1,11,2017,,21338.0,,22317.0,979.0
1,11,2018,,18978.0,,18657.0,-321.0
1,11,2019,22243.0,20203.0,,,2040.0
1,11,2020,22625.0,23983.0,,,-1358.0
1,11,2021,,1449259.0,22569.0,,-1426690.0
1,12,2017,,22037.0,,22443.0,406.0
1,12,2018,,21480.0,,23111.0,1631.0
1,12,2019,33328.0,22880.0,,,10448.0
1,12,2020,26512.0,27162.0,,,-650.0
1,13,2017,,23725.0,,24307.0,582.0
1,13,2018,,19372.0,,19582.0,210.0
1,13,2019,22579.0,23497.0,,,-918.0
1,13,2020,29600.0,30382.0,,,-782.0
1,13,2021,,19770.0,19142.0,,-628.0
1,14,2017,,30442.0,,,-30442.0
1,14,2018,,23728.0,,32219.0,8491.0
1,14,2019,23700.0,23912.0,,,-212.0
1,14,2020,23398.0,23860.0,,,-462.0
1,14,2021,,25619.0,32456.0,,6837.0
1,15,2017,,23489.0,,23695.0,206.0
1,15,2018,,28946.0,,28722.0,-224.0
1,15,2019,29234.0,28930.0,,,304.0
1,15,2020,1159205.0,1163979.0,,,-4774.0
1,15,2021,,29878.0,29578.0,,-300.0
1,16,2017,,22724.0,,,-22724.0
1,16,2018,,29551.0,,29798.0,247.0
1,16,2019,29436.0,29751.0,,,-315.0
1,16,2020,24552.0,,,,24552.0
1,16,2021,,22684.0,22442.0,,-242.0
1,17,2017,,23402.0,,24300.0,898.0
1,17,2018,,22614.0,,22748.0,134.0
1,17,2019,23000.0,23582.0,,,-582.0
1,17,2020,21587.0,22406.0,,,-819.0
1,17,2021,,24481.0,23727.0,,-754.0
1,18,2017,,29283.0,,32037.0,2754.0
1,18,2018,,23693.0,,24449.0,756.0
1,18,2019,22179.0,22269.0,,,-90.0
1,18,2021,,22373.0,21908.0,,-465.0
1,19,2017,,19377.0,,19097.0,-280.0
1,19,2018,,22269.0,,22658.0,389.0
1,19,2019,24151.0,23943.0,,,208.0
1,19,2021,,17910.0,17916.0,,6.0
1,20,2017,,21274.0,,21221.0,-53.0
1,20,2018,,22641.0,,22551.0,-90.0
1,20,2019,23148.0,22882.0,,,266.0
1,20,2021,,25235.0,25300.0,,65.0
1,21,2018,,21283.0,,22630.0,1347.0
1,21,2019,21145.0,22178.0,,,-1033.0
1,21,2021,,20580.0,996375.0,,975795.0
1,22,2021,,21595.0,21152.0,,-443.0
2,1,2020,16407.0,16365.0,,,42.0
2,1,2021,,24076.0,23848.0,,-228.0
2,2,2017,,17616.0,,17354.0,-262.0
2,2,2019,24433.0,24324.0,,,109.0
2,2,2021,,38198.0,1621361.0,,1583163.0
2,3,2017,,30682.0,,24314.0,-6368.0
2,3,2019,24083.0,23597.0,,,486.0
2,3,2020,21644.0,22264.0,,,-620.0
2,3,2021,,22164.0,22104.0,,-60.0
2,4,2018,,21329.0,,20823.0,-506.0
2,4,2020,33602.0,,,,33602.0
2,4,2021,,22078.0,21592.0,,-486.0
2,5,2017,,21722.0,,22307.0,585.0
2,5,2018,,,,24273.0,24273.0
2,5,2019,22018.0,22511.0,,,-493.0
2,5,2020,28188.0,29402.0,,,-1214.0
2,5,2021,,24244.0,,,-24244.0
2,6,2019,24776.0,,,,24776.0
2,6,2020,22143.0,21853.0,,,290.0
2,6,2021,,15432.0,,,-15432.0
2,7,2017,,,,23345.0,23345.0
2,7,2019,23456.0,,,,23456.0
2,7,2021,,,30123.0,,30123.0
2,8,2017,,15234.0,,15174.0,-60.0
2,8,2018,,,,31029.0,31029.0
2,8,2020,1522264.0,1516864.0,,,5400.0
2,8,2021,,21640.0,,,-21640.0
2,9,2018,,20980.0,,,-20980.0
2,9,2020,1436402.0,1436696.0,,,-294.0
2,9,2021,,21421.0,21236.0,,-185.0
2,10,2017,,,,35204.0,35204.0
2,10,2018,,,,28174.0,28174.0
2,10,2019,28177.0,,,,28177.0
2,10,2021,,40266.0,,,-40266.0
2,11,2019,20498.0,22947.0,,,-2449.0
2,11,2020,,23180.0,,,-23180.0
2,11,2021,,21731.0,1456349.0,,1434618.0
2,12,2017,,22357.0,,25650.0,3293.0
2,12,2019,21744.0,21390.0,,,354.0
2,13,2018,,22375.0,,22253.0,-122.0
2,13,2020,30129.0,30925.0,,,-796.0
2,13,2021,,18868.0,18578.0,,-290.0
2,14,2017,,24368.0,,,-24368.0
2,14,2018,,,,24301.0,24301.0
2,14,2019,,23731.0,,,-23731.0
2,14,2020,22853.0,,,,22853.0
2,15,2020,24936.0,24061.0,,,875.0
2,15,2021,,30045.0,31017.0,,972.0
2,16,2020,52874.0,,,,52874.0
2,17,2017,,,,23620.0,23620.0
2,17,2019,23157.0,23591.0,,,-434.0
2,17,2021,,23676.0,24052.0,,376.0
2,18,2017,,23315.0,,22379.0,-936.0
2,18,2018,,23915.0,,,-23915.0
2,19,2017,,19237.0,,17817.0,-1420.0
2,19,2018,,22399.0,,21777.0,-622.0
2,19,2019,23819.0,,,,23819.0
2,19,2021,,18660.0,17807.0,,-853.0
2,20,2018,,,,22683.0,22683.0
2,20,2019,23210.0,23088.0,,,122.0
2,20,2021,,25381.0,25175.0,,-206.0
2,21,2021,,995856.0,1087591.0,,91735.0
2,22,2021,,,21871.0,,21871.0
3,2,2017,,17737.0,,17362.0,-375.0
3,2,2021,,1494731.0,,,-1494731.0
3,3,2020,21572.0,22426.0,,,-854.0
3,3,2021,,26907.0,26743.0,,-164.0
3,6,2020,22607.0,,,,22607.0
3,6,2021,,2000923.0,,,-2000923.0
3,8,2017,,1310768.0,,1310808.0,40.0
3,8,2020,,31643.0,,,-31643.0
3,9,2020,23111.0,22445.0,,,666.0
3,11,2019,21142.0,69022.0,,,-47880.0
3,11,2021,,21516.0,35245.0,,13729.0
3,13,2021,,19202.0,,,-19202.0
3,14,2017,,24337.0,,,-24337.0
3,15,2020,24734.0,24345.0,,,389.0
3,19,2017,,18725.0,,17842.0,-883.0
3,19,2021,,22690.0,22722.0,,32.0
3,20,2019,,23060.0,,,-23060.0
3,20,2021,,,25465.0,,25465.0
3,21,2021,,1086674.0,,,-1086674.0
3,22,2021,,,21453.0,,21453.0
4,2,2017,,22668.0,,17370.0,-5298.0
4,2,2021,,65870.0,,,-65870.0
4,3,2021,,,26319.0,,26319.0
4,8,2017,,27025.0,,29317.0,2292.0
4,9,2020,23199.0,22800.0,,,399.0
4,11,2019,21009.0,27069.0,,,-6060.0
4,11,2021,,21208.0,21047.0,,-161.0
4,14,2017,,28466.0,,,-28466.0
4,15,2020,24675.0,,,,24675.0
4,19,2017,,23121.0,,22736.0,-385.0
4,19,2021,,22664.0,22766.0,,102.0
5,2,2017,,,,22443.0,22443.0
5,9,2020,1302010.0,1300911.0,,,1099.0
5,11,2019,,20015.0,,,-20015.0
5,11,2021,,,20848.0,,20848.0
6,11,2019,,19610.0,,,-19610.0
